                                                             СТАТИКА Unnamed: 1  Unnamed: 2                                                          СТАТО-ДИНАМІКА Unnamed: 4  Unnamed: 5                                                   ДИНАМІКА Unnamed: 7  Unnamed: 8                                              ДИНАМІКА.1 Unnamed: 10
0                                                     Назва елементу        бал         NaN                                                          Назва елементу        бал         NaN                                             Назва елементу        бал         NaN                                          Назва елементу         бал
54                                                          L-стійка          8         NaN                                                       Арчер ноги широко          7         NaN                                                     Гномік          4         NaN                                           Гінгер на 540          20
55                                             Мексиканка ноги разом          8         NaN                    Підтягування в задньому висі (широка постановка рук)          7         NaN                                                   Смертник          4         NaN                                   Контр переднє в зацеп          23
56                                                           Крісто           8         NaN       Підтягування в передньому висі (середня та вузька постановка рук)          7         NaN                             Імпульсо в упор на перекладині          4         NaN                                      Бек ту бек в зацеп          25
57                                                       Анті крісто          8         NaN                                 Китайський Спічаг (руки широко) нарізно          7         NaN                                                Кід Тарзан           4         NaN                                       Подвійний внутряк          25
58                                                 Передній скайлайн          8         NaN                 Вижим з крокодила в горизонт ноги широко вузьким хватом          7         NaN                               Халявний єгерь з вису позаду          4         NaN                                           Вінт в гейнер          26
59                                            Драгонфлаг ноги разом           8         NaN                               Опускання зі стійки в горизонт ноги разом          7         NaN                                                360 з упору          4         NaN                                           Халявний 1080          28
60                                    Кільце в стійці на перекладині          9         NaN                                 Підйом з горизонта ноги широко у стійку          7         NaN                                          Група елементів B        NaN         NaN                                               Тріпл лач          30
61                                                     Стійка ігуана          9         NaN                                           Підйом переворот однією рукою          7         NaN                                                      Адлер          5         NaN  Переліт Ткачова з великих обертів (велика складність)           30
62                                Стійка прапор на брусах ноги разом          9         NaN                                                           Спічаг ігуана          7         NaN                                              Верхній брейк          5         NaN                                                    1080          35
63                     Передній вис середня та вузька постановка рук          9         NaN                                                           180 в стійці           8         NaN                                                   Пір'їнка          5         NaN                                                     NaN         NaN
64                                       Передній вис на предпліччях         10         NaN                                       90° віджимання в стійці на руках           8         NaN                             Переліт на брусах ноги нарізно          5         NaN                                                     NaN         NaN
65                                                 Прапор ноги разом         10         NaN                                                Спічаг ноги разом з кута          8         NaN                                      Скльопка на одну руку          5         NaN                                                     NaN         NaN
66                                                     Простий хрест         10         NaN                                    Китайський Спічаг (руки широко) фулл          9         NaN                          Голочка в імпульсо (підйом двома)          5         NaN                                                     NaN         NaN
67                                            Горизонт ноги нарізно          10         NaN                                                 Арчер в передньому висі          9         NaN                              Голочка на 180 (підйом двома)          5         NaN                                                     NaN         NaN
68                                                 Група елементів C        NaN         NaN                                                  Спічаг з кута в ігуані          9         NaN                                         Заліт на підколіни          5         NaN                                                     NaN         NaN
69                                        Стійка ігуана (ноги разом)         11         NaN                            Підйом з вису силою в передній вис на 1 руці          9         NaN                          Лач Гейнер бланшом (прямим тілом)          5         NaN                                                     NaN         NaN
70                                      Стійка на кільцях ноги разом         11         NaN                                                        Арчер ноги разом          9         NaN           360 звичайний /  в зворотній хват / з різнохвата          5         NaN                                                     NaN         NaN
71                        Китайський прапор (прапор на передпліччі)          11         NaN                                       Віджимання в горизонті ноги разом          9         NaN                                            360 в різнохват          5         NaN                                                     NaN         NaN
72                                     Стійка на 1 руці ноги нарізно         12         NaN    Опускання зі стійки в горизонт схрестним (вузьким) хватом ноги разом          9         NaN                                           360 з-під ліктів          5         NaN                                                     NaN         NaN
73                                                         Дед планш         12         NaN                                            Силовий вихід із-під турніка         10         NaN                                   360 із зворотнього хвата          5         NaN                                                     NaN         NaN
74                                               Ластівка притиснута         12         NaN                                 Підйом з горизонта ноги разом у стійку          10         NaN                                      180 в Великих обертах          5         NaN                                                     NaN         NaN
75                                         Планш на ліктях (Біцепс)          13         NaN                                                      Імпосібл на брусах         10         NaN                            Переліт на 180 з виходу на три           5         NaN                                                     NaN         NaN
76                                   Мексика в ігуані (ноги нарізно)         13         NaN   Підйом з горизонта схрестним чи вузьким хватом ноги нарізно у стійку          10         NaN                                  Заліт двома ноги нарізно           5         NaN                                                     NaN         NaN
77                                                   Притиснутий вис         13         NaN             Вижим з крокодила в фул планш вузьким хватом або навхресним         10         NaN                                    Внутрішнє з вису позаду          5         NaN                                                     NaN         NaN
78                 Горизонт ноги нарізно вузьким хватом чи схрестним         13         NaN                              Підтягування у задньому висі на одній руці         10         NaN                                            V 360 з 1 ногою          6         NaN                                                     NaN         NaN
79                                                 Планш на ліктях М         13         NaN                  Підтягування в передньому висі (широка постановка рук)         10         NaN                                                Гвинтокрил           6         NaN                                                     NaN         NaN
80                                              Літак ноги нарізно           14         NaN                                                       Група елементів C        NaN         NaN                                             Ткач на брусах          6         NaN                                                     NaN         NaN
81                                Передній вис широка постановка рук         14         NaN                                                                   Принц         11         NaN                                                     Гінгер          6         NaN                                                     NaN         NaN
82                                       Стійка на 1 руці ноги разом         14         NaN                                                                Унікобра         11         NaN                                      Внутрішній Лач Гейнер          6         NaN                                                     NaN         NaN
83                             Стійка прапор на 1 руці ноги нарізно          14         NaN                          Опускання з горизонту (фул) в літак на кільцях         11         NaN                                                    Кумкват          6         NaN                                                     NaN         NaN
84                                                  Хрест на кільцях         14         NaN                                                     Вихід однією рукою          12         NaN                                                    Х виліт          6         NaN                                                     NaN         NaN
85                                                  Схрестна стійка          14         NaN                                          Вихід в прапорі (туди і назад)         12         NaN                                                        540          6         NaN                                                     NaN         NaN
86                                         Горизонт ноги разом (Фул)         14         NaN                                                     Унікобра з ластівки         12         NaN                                    Переднє сальто з упору           6         NaN                                                     NaN         NaN
